MTD	mzTab-version	1.0
MTD	mzTab-mode	Summary
MTD	mzTab-type	Quantification
MTD	description	Aligned peak list-TGdd
MTD	software[1]	[MS, MS:1002342, MZmine, 2.38]
MTD	smallmolecule_search_engine_score[1]	[MS, MS:1001153, search engine specific score, ]
MTD	fixed_mod[1]	[MS, MS:1002453, No fixed modifications searched, ]
MTD	variable_mod[1]	[MS, MS:1002454, No variable modifications searched, ]
MTD	small_molecule-quantification_unit	[PRIDE, PRIDE:0000330, Arbitrary quantification unit, ]
MTD	ms_run[1]-location	file:/QE2_sbs_11_2[blank].mzXML
MTD	ms_run[2]-location	file:/QE2_sbs_11_18[pooled_qc].mzXML
MTD	ms_run[3]-location	file:/QE2_sbs_11_17[neat_qc].mzXML
MTD	ms_run[4]-location	file:/QE2_sbs_11_1[blank].mzXML
MTD	assay[1]-ms_run_ref	ms_run[1]
MTD	assay[2]-ms_run_ref	ms_run[2]
MTD	assay[3]-ms_run_ref	ms_run[3]
MTD	assay[4]-ms_run_ref	ms_run[4]

SMH	identifier	chemical_formula	smiles	inchi_key	description	exp_mass_to_charge	calc_mass_to_charge	charge	retention_time	taxid	species	database	database_version	uri	spectra_ref	search_engine	best_search_engine_score[1]	modifications	smallmolecule_abundance_assay[1]	opt_assay[1]_peak_mz	opt_assay[1]_peak_rt	opt_assay[1]_peak_height	smallmolecule_abundance_assay[2]	opt_assay[2]_peak_mz	opt_assay[2]_peak_rt	opt_assay[2]_peak_height	smallmolecule_abundance_assay[3]	opt_assay[3]_peak_mz	opt_assay[3]_peak_rt	opt_assay[3]_peak_height	smallmolecule_abundance_assay[4]	opt_assay[4]_peak_mz	opt_assay[4]_peak_rt	opt_assay[4]_peak_height
SML	null	null	null	null	null	70.01336479187012	null	null	0.09395833333333332	null	null	null	null	null	null	null	null	null	2740206.9560156255	70.01342010498047	0.09346666666666666	3814735.5	2016957.0247109365	70.01331329345703	0.09386666666666667	3263536.75	2210193.6692929678	70.01342010498047	0.09391666666666666	3653348.75	6572246.233343749	70.0133056640625	0.09458333333333332	2048780.25
SML	null	null	null	null	null	70.01310348510742	null	null	16.987333333333332	null	null	null	null	null	null	null	null	null	3798754.3242187807	70.01311492919922	16.998666666666665	409231.4375	null	null	null	null	null	null	null	null	2619701.4435155992	70.01309204101562	16.976	291739.84375
SML	null	null	null	null	null	72.08162117004395	null	null	0.11085	null	null	null	null	null	null	null	null	null	383022.2009216309	72.08161544799805	0.12238333333333333	54623.86328125	100601.93496313474	72.08162689208984	0.09931666666666666	36808.34375	null	null	null	null	null	null	null	null
SML	null	null	null	null	null	74.06084060668945	null	null	0.160025	null	null	null	null	null	null	null	null	null	3234229.3020429686	74.06083679199219	0.16546666666666668	379099.59375	3840961.6622304684	74.06084442138672	0.15985	418013.375	3780022.8387031252	74.06085205078125	0.14103333333333332	452575.28125	3877016.9069160162	74.06082916259766	0.17375000000000002	424865.125
SML	null	null	null	null	null	74.06088161468506	null	null	17.028875	null	null	null	null	null	null	null	null	null	566577.3902441445	74.06088256835938	17.044166666666666	102213.7109375	761307.7576171859	74.06087493896484	17.025333333333332	118694.4921875	782013.8126562418	74.06087112426758	17.019	124476.359375	635314.6389892559	74.06089782714844	17.027	144960.109375
SML	null	null	null	null	null	77.99932479858398	null	null	0.09395833333333332	null	null	null	null	null	null	null	null	null	999037.7418125	77.99935150146484	0.09346666666666666	1416678.625	1187333.1701874991	77.99930191040039	0.09386666666666667	2245444.5	1576516.2898593743	77.99929428100586	0.09391666666666666	2078564.25	821129.3161835937	77.99935150146484	0.09458333333333332	672478.875
SML	null	null	null	null	null	79.01872062683105	null	null	0.12642916666666668	null	null	null	null	null	null	null	null	null	4.6407316120542966E7	79.0186996459961	0.09346666666666666	1.0227417E7	4.94553809591914E7	79.01872634887695	0.09386666666666667	6793751.0	5.0760023331312485E7	79.01873016357422	0.09391666666666666	8549973.0	3.497575913312501E7	79.01872634887695	0.22446666666666668	3749811.0
SML	null	null	null	null	null	79.01855214436848	null	null	16.87111111111111	null	null	null	null	null	null	null	null	null	1433717.4373828415	79.01854705810547	16.832333333333334	160114.65625	null	null	null	null	1477904.0339843633	79.01860809326172	16.884333333333334	202677.140625	1417701.2081640854	79.01850128173828	16.896666666666665	159374.9375
SML	null	null	null	null	null	79.02986907958984	null	null	17.17238888888889	null	null	null	null	null	null	null	null	null	1.8828673018125083E7	79.02984237670898	17.142166666666665	2356378.75	null	null	null	null	1.5197996154687384E7	79.02993774414062	17.2285	1996051.875	1.7594479851875104E7	79.02982711791992	17.1465	2147539.25
SML	null	null	null	null	null	79.02989387512207	null	null	17.390625	null	null	null	null	null	null	null	null	null	1.7550799904999986E7	79.02986145019531	17.320666666666668	2022808.375	2.3348321763749994E7	79.0299301147461	17.453	2331790.5	2.185775142812475E7	79.02993774414062	17.310333333333332	2174829.5	1.034075763999971E7	79.02984619140625	17.4785	1576492.75
SML	null	null	null	null	null	79.0298662185669	null	null	0.07881666666666667	null	null	null	null	null	null	null	null	null	1118335.2198437504	79.02985763549805	0.08126666666666667	1240063.875	520029.50458007824	79.02988052368164	0.07581666666666667	574344.25	254558.123263672	79.02985382080078	0.07586666666666667	297529.21875	351537.134946289	79.02987289428711	0.08231666666666666	349416.21875
SML	null	null	null	null	null	79.04246520996094	null	null	17.055333333333333	null	null	null	null	null	null	null	null	null	2257344.966874989	79.04246520996094	17.055333333333333	349703.6875	null	null	null	null	null	null	null	null	null	null	null	null
SML	null	null	null	null	null	79.04244995117188	null	null	17.320666666666668	null	null	null	null	null	null	null	null	null	1762747.8157812622	79.04244995117188	17.320666666666668	194698.734375	null	null	null	null	null	null	null	null	null	null	null	null
SML	null	null	null	null	null	79.04243850708008	null	null	0.07568333333333334	null	null	null	null	null	null	null	null	null	75540.54037255864	79.04243850708008	0.07568333333333334	90690.296875	null	null	null	null	null	null	null	null	null	null	null	null
SML	null	null	null	null	null	80.03771781921387	null	null	17.434583333333332	null	null	null	null	null	null	null	null	null	1.3762412205000015E7	80.0377426147461	17.380999999999997	1395404.125	1.7229458719374917E7	80.03772735595703	17.49683333333333	1688911.5	1.5351148299374864E7	80.03773498535156	17.398333333333333	1595430.75	1.0149739699062377E7	80.03766632080078	17.46216666666667	1192751.625
SML	null	null	null	null	null	80.03769588470459	null	null	0.07881666666666667	null	null	null	null	null	null	null	null	null	1269515.2773750003	80.0376968383789	0.08126666666666667	1203596.75	607196.2879687501	80.03768920898438	0.07581666666666667	625392.4375	594332.6050195314	80.03772354125977	0.07586666666666667	538118.4375	329088.9750507813	80.03767395019531	0.08231666666666666	326772.21875
SML	null	null	null	null	null	81.04555797576904	null	null	17.0275	null	null	null	null	null	null	null	null	null	1.544887619080745E8	81.04556655883789	17.038666666666668	2.4055556E7	1.726253230148013E8	81.0455551147461	17.031	3.0628964E7	1.7572230660508823E8	81.0455551147461	17.013333333333332	3.3205974E7	1.6203682932686755E8	81.0455551147461	17.027	2.8505006E7
SML	null	null	null	null	null	81.04556274414062	null	null	17.435958333333332	null	null	null	null	null	null	null	null	null	4.266283717249986E7	81.04557800292969	17.485666666666667	6636636.5	6.060232475750051E7	81.04554748535156	17.4585	7287988.5	6.448442318999945E7	81.0455551147461	17.370833333333334	7045989.5	4.195539048249914E7	81.04557037353516	17.428833333333333	5299222.5
SML	null	null	null	null	null	81.04553508758545	null	null	0.07725416666666667	null	null	null	null	null	null	null	null	null	4504995.235250002	81.04550552368164	0.08126666666666667	4882287.5	2531460.7441875003	81.04557800292969	0.07581666666666667	2555536.0	3401106.795812501	81.04557037353516	0.07586666666666667	3304536.0	1903366.451925781	81.04548645019531	0.07606666666666667	1868210.75
SML	null	null	null	null	null	81.04557800292969	null	null	6.702216666666667	null	null	null	null	null	null	null	null	null	3127.7050957031106	81.04557800292969	6.702216666666667	3399.748046875	null	null	null	null	null	null	null	null	null	null	null	null
