mz,rt,QE2_sbs_11_1.blank.,QE2_sbs_11_10.2S.,QE2_sbs_11_11.27NOC.,QE2_sbs_11_12.30NOC.,QE2_sbs_11_13.3S.,QE2_sbs_11_14.6S.,QE2_sbs_11_15.29NOC.,QE2_sbs_11_16.blank.,QE2_sbs_11_17.neat_qc.,QE2_sbs_11_18.pooled_qc.,QE2_sbs_11_19.16N.,QE2_sbs_11_2.blank.,QE2_sbs_11_20.11N.,QE2_sbs_11_21.1S.,QE2_sbs_11_22.26NOC.,QE2_sbs_11_23.28NOC.,QE2_sbs_11_24.17OC.,QE2_sbs_11_25.18OC.,QE2_sbs_11_26.23OC.,QE2_sbs_11_27.24OC.,QE2_sbs_11_28.12N.,QE2_sbs_11_29.blank.,QE2_sbs_11_3.blank.,QE2_sbs_11_30.neat_qc.,QE2_sbs_11_31.pooled_qc.,QE2_sbs_11_32.15N.,QE2_sbs_11_33.25NOC.,QE2_sbs_11_34.19OC.,QE2_sbs_11_35.22OC.,QE2_sbs_11_36.31NOC.,QE2_sbs_11_37.21OC.,QE2_sbs_11_38.8S.,QE2_sbs_11_39.20OC.,QE2_sbs_11_4.neat_qc.,QE2_sbs_11_40.13N.,QE2_sbs_11_41.32NOC.,QE2_sbs_11_42.blank.,QE2_sbs_11_43.neat_qc.,QE2_sbs_11_44.pooled_qc.,QE2_sbs_11_45.7S.,QE2_sbs_11_46.14N.,QE2_sbs_11_47.4Sddms2.,QE2_sbs_11_48.10Nddms2.,QE2_sbs_11_49.27NOCddms2.,QE2_sbs_11_5.pooled_qc._150123105329,QE2_sbs_11_5.pooled_qc.,QE2_sbs_11_50.17OCddms2.,QE2_sbs_11_6.4S.,QE2_sbs_11_7.10N.,QE2_sbs_11_8.9N.,QE2_sbs_11_9.5S.
184.4856755,0.245201137,0,740826.068,769216.776,750381.8351,667454.3745,698164.1625,683716.763,0,0,0,674439.3704,0,695915.7903,730810.7843,693177.97,691477.1454,726951.1054,741044.2875,727428.3213,725549.7236,725923.6272,0,0,0,753845.7978,804150.6611,780233.0408,0,739623.6181,810185.9116,721556.6626,790561.8086,720784.6146,0,759144.6004,757550.2726,0,0,822526.0295,803651.7123,820897.1916,850234.917,743073.8779,0,430033.4938,598586.635,0,550271.0059,0,671374.0922,732119.6272
170.4882685,0.245449326,0,752523.6485,717460.307,720916.2078,701877.1964,692732.3929,703503.6122,0,0,0,663691.6148,0,719980.4723,703950.6466,711647.3424,713318.0111,0,683878.39,774457.5052,742726.3667,729306.6905,0,0,740641.7811,715124.0392,778321.6835,760349.6509,782638.4065,795761.9347,797114.3303,742185.1232,775216.2482,744829.6794,0,801345.1781,744318.9596,0,0,757619.1104,764339.975,815105.1483,795203.6604,741513.8133,749118.9632,1484210.342,596703.5707,0,568730.1468,624135.465,676263.8575,714523.2035
177.9801317,0.270354986,0,5845766.607,5841643.025,5647660.252,5161884.333,5239145.029,5415449.244,0,0,0,6010902.246,0,6026316.922,5710613.666,5992322.288,5861351.979,6195451.072,6151388.771,6725325.059,6192774.599,5933983.437,0,0,6633998.906,6849207.509,6357092.76,6968085.96,6402986.224,7094563.491,6295650.284,6721548.269,6570356.905,7102174.073,0,6608211.685,6827267.243,0,0,7242214.015,7299693.696,7220707.92,7368020.788,7949956.037,8182845.415,39141897.67,4018517.816,8014300.267,5829878.946,5682217.068,5982389.169,5764812.034
80.05022465,0.277138228,1005913.762,1042037.219,687586.0027,663401.4421,495379.0554,697998.862,627909.7828,717048.9961,664906.117,685568.3471,631464.9138,477048.674,674837.0281,578700.0363,736546.1623,638315.6009,767977.4372,737710.7261,717177.5379,665251.5664,673807.7804,753633.0284,0,619260.343,679803.8243,706404.6261,744939.7105,746564.9286,148953.8241,800161.2883,726934.989,683077.3355,239808.5001,485081.3601,793447.8232,738950.1851,0,648667.1038,695412.6505,724828.9104,776529.8201,646781.8256,702132.7838,700352.2206,3366204.391,747402.7202,1736495.978,829992.1407,755540.7129,230042.1996,701532.6327
97.01165738,0.29763354,0,10224019.4,11271821.11,11138738.38,9153958.936,10854151.49,11089436.51,0,0,0,12076874.42,0,12526025.27,11422037.65,11563624.64,11632933.1,13025919.87,12690862.56,12951206.61,12638093.71,12248484.27,0,0,9587905.033,13322431.77,12459821.27,13498676.56,13475166.48,13111874.39,13749159.96,12646006.01,13664009.9,13115962.98,0,12350349.99,13805246.96,0,0,14778700.98,13883853.82,14462276.82,14149230.81,16935627.87,16437213.95,1286070.11,14745576.03,17037461.66,9266068.521,10090038.16,9674227.736,10589244.83
89.94052705,0.300970682,0,560412.6725,548952.8823,554825.0165,544412.7161,495124.5708,531829.8976,0,0,0,646908.1072,0,525777.2117,517936.6207,499171.0871,451911.1677,495958.6956,454580.5708,483529.5813,473204.642,454991.5648,0,0,0,512485.0818,482374.6214,485628.6038,451981.6914,458951.766,450942.3552,453045.0834,456288.0729,464156.048,514415.9565,458348.1337,457708.5327,0,0,521758.4244,511587.9376,489470.6448,548757.8642,538394.184,591044.1123,269087.5692,505304.7179,465031.2024,347889.6901,393386.6547,480640.1628,544231.1689
141.958922,0.338290845,0,365716872.6,351057324.3,364560748.3,362207045.8,357774754.5,363619037.1,0,318949171.1,306462766.8,372979700.6,0,356352678.2,361109068.8,350978168.7,345439131.6,345713496.1,357768415.4,358853903.8,355413749.7,364066515,0,0,326347416.6,364677562.3,372402103.5,379834532,376959110.6,365394149,376449312,376670782.7,379593073.9,390866400.3,233437138.9,383896528.8,383054716.3,0,358535931.2,400367562.4,400585548.7,400113225.8,444664994.3,408830538.1,403779067.1,2693353665,260332541.6,412549473.8,296415796.8,306943927.9,321067062.8,356612004.6
161.9710256,0.34519889,0,20659805.94,20156116.99,19494462.37,18587049.52,17218208.54,17912539.02,0,0,0,18152925.4,0,17406146.57,15458680.03,14969228.74,14468702.4,20150866,16487067.21,15700168.42,14856057.44,14984498.59,0,0,14214382.02,16401592.03,14590500.57,15889774.33,14900684.62,14280086.41,15211909.97,14979261.79,15017235.13,14758437.06,0,14453294.04,14459536.14,0,0,15598717.7,16273983.64,14988461.55,19091034.06,17067228.86,15779545.16,68976421.22,13855905.57,15794024.45,21233623.74,19666119.05,22643927.62,20164701.22
159.9694712,0.360458948,0,179788618.3,174371661.4,175553062.8,172350842.6,170363970.7,170362608.4,0,162898172.9,156531182.4,179542526.4,0,173622354.7,172991331.9,169744940.4,166952768.7,169910663.3,173028153.8,176924973.3,173187179,173910361.5,0,0,168811639.9,181737265.5,182510020.1,187120396,182021830.3,183068596.1,185055116.7,185861907.3,186994509.6,188674153.5,116226084,185251493.3,187797787,0,185545460.1,201049744,197826020.5,201250101.6,204447503.7,206421563.7,207385847.3,1295175611,124025151,203545471.2,176901737.2,170651937,170041336.9,177408767.8
139.9807976,0.363968565,0,33930446.91,33619979.58,33762264.02,33690225.36,33391624.07,33596222.68,0,31717237.4,29785884.97,34205584.17,0,32580278.91,33698067.53,32442359.34,31383848.66,31641205.32,31936849.23,33039603.86,32770162.91,33616392.86,0,0,31873767.7,33311457.09,33122955.08,33383581.57,33820455.02,32565818.47,33058736.69,33195908.95,33447644.34,33874460.62,34538219.27,33258004.38,32989389.13,0,31562622.88,34280493.25,34209356.2,33928539.87,31968562.93,35107315.91,34047067.71,167882634.3,76268824.01,34458429.78,34942171.48,32398409.47,31445703.82,33830689.99
160.9748597,0.392620614,0,4384617.804,4831171.789,4520933.564,4611294.069,4649398.829,4695653.484,0,0,0,4681134.485,0,4670882.451,4719495.969,26398022.26,4477704.691,4760186.648,4700229.843,4695683.896,21578150.34,4530749.15,0,0,13050139.7,4983348.447,4565111.768,4873205.137,4679154.608,24492133.1,4636171.216,4907996.877,4745563.858,4981197.336,0,4941658.162,25143181.47,0,0,4978524.741,5087102.537,5031297.12,4943638.357,5011360.657,5186950.867,37527183.53,23532233.63,5077268.489,4880044.416,4639145.768,4377354.136,5086962.892
135.9457542,0.402252512,0,7331774.675,7083735.802,7491656.507,7031518.595,6633166.646,6728688.468,0,0,0,7924451.827,0,6457669.608,6294644.493,6061423.152,5792565.905,5886528.157,5862774.663,5910624.319,5636244.542,5079294.418,0,0,5216735.925,5993910.542,5244493.297,5651531.366,4754577.819,5254392.574,4570340.812,5183862.184,4759040.604,4999282.147,0,4665439.188,4895438.517,0,0,5096749.466,5167937.521,4674372.543,4818579.504,5179865.076,5591944.947,1607329.069,6220784.584,5086865.252,4528776.478,5222253.802,6813528.641,7314473.649
100.0364966,0.460481183,27415314.41,32726426.57,37923819.56,37975689.89,39112579.54,40867827.73,39814038.39,41547680.14,34585492.66,32951345.31,39008468.97,0,40448750.5,40216342.83,41068094.98,41335172.98,40361997.39,42046656.6,42218710.19,42214049.43,43775060.82,42773533.17,0,32379703.37,39610486.88,42576798.96,43219852.3,46325328.9,41841975.51,47643436.31,44918234.55,47272375.1,45921699.32,31695505.8,47019366.82,45407942.48,44800985.6,36049338.9,43920196.62,44002603,48973052.76,42244925.5,48323396.78,41073684.43,36437652.71,42032798.63,41643063.5,38525823.17,38992327.88,32088803.78,37551138.15
